CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,CROPDURATION,TEMPERATURE,WATERREQUIRED,RELATIVE_HUMIDITY,N,P,K
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.85,134.63,32.31,1885.02,72.31,92.31,52.31,52.31
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.5,130.0,30.0,1699.99,70.0,90.0,50.0,50.0
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,6.86,134.74,32.37,1889.77,72.37,92.37,52.37,52.37
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.94,122.56,26.28,1402.58,66.28,86.28,46.28,46.28
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,7.71,146.1,38.05,2344.03,78.05,98.05,58.05,58.05
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,5.73,119.67,24.83,1286.69,64.83,84.83,44.83,44.83
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.27,140.33,35.16,2113.17,75.16,95.16,55.16,55.16
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,6.11,124.74,27.37,1489.42,67.37,87.37,47.37,47.37
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,6.3,127.31,28.65,1592.4,68.65,88.65,48.65,48.65
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.16,138.82,34.41,2052.63,74.41,94.41,54.41,54.41
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,7.54,143.89,36.95,2255.71,76.95,96.95,56.95,56.95
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.59,117.86,23.93,1214.31,63.93,83.93,43.93,43.93
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.79,133.89,31.94,1855.46,71.94,91.94,51.94,51.94
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.61,131.52,30.76,1760.63,70.76,90.76,50.76,50.76
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.75,119.96,24.98,1298.42,64.98,84.98,44.98,44.98
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.91,135.41,32.71,1916.57,72.71,92.71,52.71,52.71
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.8,120.63,25.32,1325.22,65.32,85.32,45.32,45.32
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.55,130.62,30.31,1724.64,70.31,90.31,50.31,50.31
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.14,125.26,27.63,1510.45,67.63,87.63,47.63,47.63
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.31,127.52,28.76,1600.97,68.76,88.76,48.76,48.76
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.26,126.74,28.37,1569.43,68.37,88.37,48.37,48.37
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,7.08,137.72,33.86,2008.88,73.86,93.86,53.86,53.86
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,5.78,120.4,25.2,1316.04,65.2,85.2,45.2,45.2
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,6.73,133.05,31.53,1822.13,71.53,91.53,51.53,51.53
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.18,125.67,27.84,1526.87,67.84,87.84,47.84,47.84
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,6.29,127.16,28.58,1586.3,68.58,88.58,48.58,48.58
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.79,133.87,31.94,1854.86,71.94,91.94,51.94,51.94
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,6.07,124.22,27.11,1468.63,67.11,87.11,47.11,47.11
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.25,126.68,28.34,1567.31,68.34,88.34,48.34,48.34
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,6.52,130.25,30.13,1710.13,70.13,90.13,50.13,50.13
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,5.8,120.6,25.3,1324.17,65.3,85.3,45.3,45.3
rice,cereals,Loamy soil,kharif,Jun,Oct,irrigated,6.19,125.81,27.9,1532.39,67.9,87.9,47.9,47.9
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,6.69,132.5,31.25,1800.02,71.25,91.25,51.25,51.25
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,5.35,114.64,22.32,1085.5,62.32,82.32,42.32,42.32
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.58,117.72,23.86,1208.84,63.86,83.86,43.86,43.86
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.22,126.27,28.13,1550.67,68.13,88.13,48.13,48.13
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.68,132.42,31.21,1796.89,71.21,91.21,51.21,51.21
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,7.72,146.27,38.14,2350.9,78.14,98.14,58.14,58.14
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,6.2,125.94,27.97,1537.52,67.97,87.97,47.97,47.97
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.51,116.79,23.4,1171.69,63.4,83.4,43.4,43.4
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.42,115.56,22.78,1122.54,62.78,82.78,42.78,42.78
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.19,125.89,27.94,1535.43,67.94,87.94,47.94,47.94
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,7.54,143.92,36.96,2256.86,76.96,96.96,56.96,56.96
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.44,115.93,22.96,1137.2,62.96,82.96,42.96,42.96
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.24,126.47,28.23,1558.78,68.23,88.23,48.23,48.23
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,6.62,131.57,30.79,1762.92,70.79,90.79,50.79,50.79
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.96,122.8,26.4,1411.94,66.4,86.4,46.4,46.4
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,7.09,137.86,33.93,2014.33,73.93,93.93,53.93,53.93
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.09,137.88,33.94,2015.32,73.94,93.94,53.94,53.94
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.58,117.76,23.88,1210.28,63.88,83.88,43.88,43.88
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.77,133.59,31.79,1843.47,71.79,91.79,51.79,51.79
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.83,134.45,32.23,1878.14,72.23,92.23,52.23,52.23
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.27,126.89,28.44,1575.58,68.44,88.44,48.44,48.44
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,5.84,121.19,25.59,1347.52,65.59,85.59,45.59,45.59
rice,cereals,Loamy soil,kharif,Jun,Sep,rainfed,7.31,140.74,35.37,2129.56,75.37,95.37,55.37,55.37
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.63,118.41,24.21,1236.46,64.21,84.21,44.21,44.21
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.0,123.4,26.7,1435.92,66.7,86.7,46.7,46.7
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.8,133.97,31.99,1858.97,71.99,91.99,51.99,51.99
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,7.04,137.15,33.58,1986.09,73.58,93.58,53.58,53.58
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.37,141.61,35.8,2164.2,75.8,95.8,55.8,55.8
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.87,121.61,25.81,1364.49,65.81,85.81,45.81,45.81
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.25,139.96,34.98,2098.59,74.98,94.98,54.98,54.98
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.51,130.18,30.09,1707.1,70.09,90.09,50.09,50.09
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.5,130.01,30.0,1700.34,70.0,90.0,50.0,50.0
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.29,127.16,28.58,1586.36,68.58,88.58,48.58,48.58
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,7.27,140.26,35.13,2110.55,75.13,95.13,55.13,55.13
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.51,116.75,23.37,1169.92,63.37,83.37,43.37,43.37
rice,cereals,Loamy soil,kharif,Jul,Oct,irrigated,5.51,116.81,23.4,1172.31,63.4,83.4,43.4,43.4
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,7.39,141.8,35.9,2172.14,75.9,95.9,55.9,55.9
rice,cereals,Loamy soil,kharif,Jun,Oct,rainfed,6.83,134.42,32.21,1876.99,72.21,92.21,52.21,52.21
rice,cereals,Loamy soil,kharif,Jun,Sep,rainfed,7.52,143.65,36.82,2245.96,76.82,96.82,56.82,56.82
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.09,137.84,33.92,2013.46,73.92,93.92,53.92,53.92
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,6.16,125.5,27.75,1519.98,67.75,87.75,47.75,47.75
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,7.19,139.22,34.61,2068.98,74.61,94.61,54.61,54.61
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.96,136.08,33.04,1943.02,73.04,93.04,53.04,53.04
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.01,123.52,26.76,1440.62,66.76,86.76,46.76,46.76
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.4,128.6,29.3,1644.07,69.3,89.3,49.3,49.3
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,5.85,121.31,25.66,1352.42,65.66,85.66,45.66,45.66
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.44,142.51,36.26,2200.55,76.26,96.26,56.26,56.26
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,7.76,146.79,38.39,2371.45,78.39,98.39,58.39,58.39
