CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,CROPDURATION,TEMPERATURE,WATERREQUIRED,RELATIVE_HUMIDITY,N,P,K
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,5.76,139.68,32.72,1047.35,63.37,85.75,50.84,48.8
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.01,135.22,27.34,2375.62,75.28,86.14,45.35,57.09
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,7.22,129.27,32.82,2145.11,79.73,96.65,47.41,55.13
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.84,135.97,33.96,2338.54,73.2,86.31,56.96,50.71
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,7.22,119.86,22.13,1738.68,69.16,86.53,53.4,59.05
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.08,117.84,29.15,1834.47,62.8,81.82,48.73,48.28
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.8,114.93,27.97,1114.8,64.16,93.33,58.23,52.65
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,6.91,144.08,30.8,2238.63,67.67,97.48,51.4,56.44
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,5.97,140.23,30.35,1408.7,68.05,80.51,44.71,42.66
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,5.26,137.69,36.22,2346.37,77.05,90.27,40.38,45.41
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,7.68,130.05,36.03,1431.12,66.5,86.92,51.4,53.46
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.8,143.29,34.72,2166.75,67.66,94.53,45.15,53.48
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.54,121.49,31.84,1960.74,63.91,88.14,44.68,50.91
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.85,142.15,24.01,1896.55,65.31,89.01,50.17,50.1
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.99,142.7,38.62,1833.1,74.56,80.58,41.97,44.77
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.47,113.25,20.96,1137.86,64.63,96.02,51.79,42.86
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.32,120.53,29.17,2268.35,68.24,88.0,56.46,46.88
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,7.81,127.03,26.74,2185.29,73.34,96.97,57.26,49.68
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.26,117.27,31.37,1871.79,77.34,85.39,46.11,43.98
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.59,138.71,25.18,1993.65,78.51,92.16,55.0,48.82
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,7.88,141.04,36.58,1627.01,77.97,87.71,57.81,48.84
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,5.94,118.57,30.89,1843.76,74.45,92.32,56.62,51.63
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,5.89,149.68,29.42,2106.72,68.7,83.07,44.13,45.68
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,7.21,135.68,33.7,2092.04,68.01,82.56,49.72,54.46
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.84,122.49,27.34,1475.99,62.88,96.48,50.74,54.64
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,6.72,138.55,34.54,1469.76,61.52,82.97,47.36,50.83
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.65,148.85,35.37,1872.6,72.58,80.37,40.43,40.05
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,6.41,143.05,28.81,1543.42,79.43,94.5,45.69,59.1
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,7.64,126.61,35.31,2304.83,72.86,89.29,49.78,45.61
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,7.46,132.72,29.86,1596.55,60.27,89.83,56.95,52.75
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.0,142.29,35.03,2190.75,65.51,95.4,52.41,56.32
rice,cereals,Loamy soil,kharif,Jun,Oct,irrigated,5.15,127.47,20.18,1299.94,69.47,84.76,41.03,40.28
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,5.88,122.27,20.2,1952.76,60.24,88.46,43.99,47.27
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,7.62,115.69,32.12,1077.58,67.02,97.88,53.02,57.78
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.22,121.66,24.33,1357.55,66.53,83.95,42.48,46.3
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.84,134.4,23.82,1192.45,76.82,81.51,46.66,54.91
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.11,116.76,29.6,1516.93,66.79,94.88,49.96,48.53
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.24,128.61,30.45,1164.26,61.82,82.31,46.29,47.14
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,7.59,131.54,27.3,1427.55,70.36,85.58,54.01,50.15
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,7.26,132.21,26.28,1090.82,66.19,83.09,43.06,45.13
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.25,144.83,37.44,1760.84,65.67,83.25,47.62,51.15
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.59,118.76,31.49,1300.0,71.02,83.28,43.45,48.12
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,7.34,128.46,35.81,2000.55,70.73,96.59,54.53,55.46
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.23,117.13,36.64,2270.53,77.0,86.05,55.44,50.75
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.27,114.09,25.79,1266.26,67.55,87.05,43.68,48.97
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,6.56,138.35,30.91,1561.45,72.09,82.36,41.93,43.45
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.79,132.42,30.46,971.03,74.09,97.07,50.82,48.98
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,7.81,120.18,21.58,1606.09,60.75,83.97,44.38,49.73
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.61,149.31,28.66,2023.23,72.38,91.34,53.97,53.83
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.97,142.38,39.73,2399.02,70.61,90.32,55.96,44.45
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,7.33,141.08,34.4,2405.58,74.38,99.03,58.52,56.68
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.53,116.44,35.67,1754.33,64.62,92.78,47.19,44.79
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.63,125.57,20.53,934.96,66.24,84.38,47.61,40.29
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,5.85,139.32,24.22,2005.2,73.01,83.55,40.1,49.32
rice,cereals,Loamy soil,kharif,Jun,Sep,rainfed,7.82,145.93,22.92,1810.56,73.47,85.05,46.83,54.12
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.18,115.49,34.19,2090.45,68.65,92.88,44.9,45.77
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.02,135.4,30.57,2039.08,64.69,98.34,54.97,55.01
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.35,120.58,21.8,1584.52,78.24,93.46,54.83,53.02
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,6.71,137.05,29.6,1723.89,64.37,96.11,43.64,56.1
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.95,147.36,39.92,1299.83,78.48,90.97,56.42,51.64
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.24,122.92,28.17,2223.42,69.86,93.07,48.07,58.27
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.27,132.65,28.63,969.62,62.51,80.45,41.26,42.62
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,7.25,125.6,28.65,2369.65,79.04,97.95,58.03,46.04
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.52,124.49,32.89,1992.56,76.31,92.53,53.75,57.38
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.53,137.0,27.64,1666.91,72.39,89.85,55.55,56.48
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,7.1,147.32,36.63,2491.25,75.91,91.46,53.68,59.06
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.13,113.98,23.47,1541.03,68.69,87.02,51.83,57.16
rice,cereals,Loamy soil,kharif,Jul,Oct,irrigated,7.55,138.13,32.06,1532.56,76.26,88.03,58.13,57.92
