CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,CROPDURATION,TEMPERATURE,WATERREQUIRED,RELATIVE_HUMIDITY,N,P,K
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,5.73,119.75,24.87,1289.94,64.87,84.87,44.87,44.87
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.16,112.1,21.05,984.16,61.05,81.05,41.05,41.05
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,7.41,142.14,36.07,2185.71,76.07,96.07,56.07,56.07
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.25,113.35,21.68,1034.14,61.68,81.68,41.68,41.68
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,5.1,111.39,20.7,955.75,60.7,80.7,40.7,40.7
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.89,135.2,32.6,1908.07,72.6,92.6,52.6,52.6
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.43,115.75,22.87,1129.97,62.87,82.87,42.87,42.87
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,7.78,147.08,38.54,2383.24,78.54,98.54,58.54,58.54
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,7.59,144.59,37.3,2283.66,77.3,97.3,57.3,57.3
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.57,144.3,37.15,2272.13,77.15,97.15,57.15,57.15
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,6.67,132.31,31.15,1792.34,71.15,91.15,51.15,51.15
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.06,124.14,27.07,1465.53,67.07,87.07,47.07,47.07
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.21,126.16,28.08,1546.28,68.08,88.08,48.08,48.08
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.95,136.01,33.01,1940.47,73.01,93.01,53.01,53.01
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.7,119.37,24.69,1274.82,64.69,84.69,44.69,44.69
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,5.92,122.32,26.16,1392.73,66.16,86.16,46.16,46.16
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.87,121.63,25.81,1365.19,65.81,85.81,45.81,45.81
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.62,131.66,30.83,1766.5,70.83,90.83,50.83,50.83
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.21,139.41,34.71,2076.46,74.71,94.71,54.71,54.71
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.15,138.69,34.35,2047.65,74.35,94.35,54.35,54.35
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.55,117.28,23.64,1191.31,63.64,83.64,43.64,43.64
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,5.94,122.58,26.29,1403.05,66.29,86.29,46.29,46.29
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.53,143.74,36.87,2249.41,76.87,96.87,56.87,56.87
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,6.86,134.81,32.4,1892.29,72.4,92.4,52.4,52.4
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,7.15,138.61,34.31,2044.59,74.31,94.31,54.31,54.31
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,7.03,137.12,33.56,1984.81,73.56,93.56,53.56,53.56
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.81,147.44,38.72,2397.42,78.72,98.72,58.72,58.72
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,5.4,115.4,22.7,1115.88,62.7,82.7,42.7,42.7
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.72,119.59,24.79,1283.59,64.79,84.79,44.79,44.79
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,5.26,113.42,21.71,1036.85,61.71,81.71,41.71,41.71
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,5.24,113.22,21.61,1028.68,61.61,81.61,41.61,41.61
rice,cereals,Loamy soil,kharif,Jun,Oct,irrigated,6.5,129.94,29.97,1697.42,69.97,89.97,49.97,49.97
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,6.55,130.64,30.32,1725.8,70.32,90.32,50.32,50.32
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,6.75,133.38,31.69,1835.01,71.69,91.69,51.69,51.69
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.24,126.57,28.28,1562.75,68.28,88.28,48.28,48.28
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.63,131.72,30.86,1768.83,70.86,90.86,50.86,50.86
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.72,132.92,31.46,1816.99,71.46,91.46,51.46,51.46
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.3,127.37,28.68,1594.73,68.68,88.68,48.68,48.68
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,5.61,118.18,24.09,1227.39,64.09,84.09,44.09,44.09
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.95,122.69,26.34,1407.55,66.34,86.34,46.34,46.34
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.02,110.3,20.15,912.17,60.15,80.15,40.15,40.15
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.34,114.48,22.24,1079.11,62.24,82.24,42.24,42.24
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,5.42,115.62,22.81,1124.8,62.81,82.81,42.81,42.81
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.59,144.51,37.26,2280.5,77.26,97.26,57.26,57.26
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.41,115.41,22.71,1116.45,62.71,82.71,42.71,42.71
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,5.4,115.28,22.64,1111.19,62.64,82.64,42.64,42.64
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.43,129.11,29.55,1664.3,69.55,89.55,49.55,49.55
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,6.41,128.85,29.42,1653.9,69.42,89.42,49.42,49.42
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.41,115.49,22.74,1119.51,62.74,82.74,42.74,42.74
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.08,124.39,27.2,1475.63,67.2,87.2,47.2,47.2
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,7.74,146.52,38.26,2360.8,78.26,98.26,58.26,58.26
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,5.23,113.07,21.53,1022.65,61.53,81.53,41.53,41.53
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.12,138.28,34.14,2031.23,74.14,94.14,54.14,54.14
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,7.09,137.89,33.94,2015.56,73.94,93.94,53.94,53.94
rice,cereals,Loamy soil,kharif,Jun,Sep,rainfed,6.77,133.62,31.81,1844.79,71.81,91.81,51.81,51.81
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.86,148.15,39.07,2425.92,79.07,99.07,59.07,59.07
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.35,141.3,35.65,2152.11,75.65,95.65,55.65,55.65
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,5.65,118.7,24.35,1247.82,64.35,84.35,44.35,44.35
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,7.46,142.86,36.43,2214.29,76.43,96.43,56.43,56.43
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.4,141.99,36.0,2179.69,76.0,96.0,56.0,56.0
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.92,135.56,32.78,1922.22,72.78,92.78,52.78,52.78
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.51,130.17,30.08,1706.74,70.08,90.08,50.08,50.08
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.29,113.9,21.95,1055.83,61.95,81.95,41.95,41.95
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,7.22,139.55,34.77,2081.96,74.77,94.77,54.77,54.77
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.2,125.96,27.98,1538.31,67.98,87.98,47.98,47.98
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,7.65,145.3,37.65,2311.86,77.65,97.65,57.65,57.65
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.03,110.36,20.18,914.51,60.18,80.18,40.18,40.18
rice,cereals,Loamy soil,kharif,Jul,Oct,irrigated,6.15,125.38,27.69,1515.19,67.69,87.69,47.69,47.69
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,5.67,119.0,24.5,1259.92,64.5,84.5,44.5,44.5
rice,cereals,Loamy soil,kharif,Jun,Oct,rainfed,6.46,129.5,29.75,1680.17,69.75,89.75,49.75,49.75
rice,cereals,Loamy soil,kharif,Jun,Sep,rainfed,5.97,122.99,26.49,1419.43,66.49,86.49,46.49,46.49
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.11,124.84,27.42,1493.58,67.42,87.42,47.42,47.42
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,7.56,144.14,37.07,2265.72,77.07,97.07,57.07,57.07
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,6.93,135.78,32.89,1931.38,72.89,92.89,52.89,52.89
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.42,142.26,36.13,2190.51,76.13,96.13,56.13,56.13
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.15,112.05,21.02,981.92,61.02,81.02,41.02,41.02
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.93,122.45,26.22,1397.88,66.22,86.22,46.22,46.22
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.35,141.36,35.68,2154.23,75.68,95.68,55.68,55.68
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.6,117.96,23.98,1218.51,63.98,83.98,43.98,43.98
