CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,CROPDURATION,TEMPERATURE,WATERREQUIRED,RELATIVE_HUMIDITY,N,P,K
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.14,125.16,27.58,1506.42,67.58,87.58,47.58,47.58
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.5,116.72,23.36,1168.94,63.36,83.36,43.36,43.36
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,5.11,111.45,20.72,957.9,60.72,80.72,40.72,40.72
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.47,129.56,29.78,1682.49,69.78,89.78,49.78,49.78
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,5.08,111.06,20.53,942.58,60.53,80.53,40.53,40.53
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.44,142.51,36.26,2200.47,76.26,96.26,56.26,56.26
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.26,113.52,21.76,1040.66,61.76,81.76,41.76,41.76
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,5.92,122.29,26.15,1391.75,66.15,86.15,46.15,46.15
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,7.51,143.46,36.73,2238.55,76.73,96.73,56.73,56.73
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,5.2,112.72,21.36,1008.93,61.36,81.36,41.36,41.36
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,6.5,129.99,30.0,1699.67,70.0,90.0,50.0,50.0
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.5,116.67,23.33,1166.73,63.33,83.33,43.33,43.33
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.66,118.76,24.38,1250.54,64.38,84.38,44.38,44.38
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.43,115.67,22.84,1126.82,62.84,82.84,42.84,42.84
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.6,144.61,37.31,2284.49,77.31,97.31,57.31,57.31
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,5.01,110.19,20.1,907.8,60.1,80.1,40.1,40.1
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,7.36,141.43,35.72,2157.28,75.72,95.72,55.72,55.72
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.77,133.58,31.79,1843.05,71.79,91.79,51.79,51.79
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,5.0,110.0,20.0,900.15,60.0,80.0,40.0,40.0
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.25,126.7,28.35,1567.88,68.35,88.35,48.35,48.35
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,7.86,148.16,39.08,2426.44,79.08,99.08,59.08,59.08
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,6.21,126.1,28.05,1544.13,68.05,88.05,48.05,48.05
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.73,133.09,31.54,1823.58,71.54,91.54,51.54,51.54
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,7.87,148.27,39.13,2430.76,79.13,99.13,59.13,59.13
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.96,122.8,26.4,1412.2,66.4,86.4,46.4,46.4
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,7.98,149.68,39.84,2487.38,79.84,99.84,59.84,59.84
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.64,145.19,37.59,2307.59,77.59,97.59,57.59,57.59
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,7.56,144.15,37.08,2266.18,77.08,97.08,57.08,57.08
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.87,134.89,32.44,1895.42,72.44,92.44,52.44,52.44
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,6.6,131.34,30.67,1753.62,70.67,90.67,50.67,50.67
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.81,147.49,38.75,2399.78,78.75,98.75,58.75,58.75
rice,cereals,Loamy soil,kharif,Jun,Oct,irrigated,5.16,112.11,21.06,984.47,61.06,81.06,41.06,41.06
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,7.26,140.13,35.06,2105.04,75.06,95.06,55.06,55.06
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,5.22,112.99,21.5,1019.67,61.5,81.5,41.5,41.5
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.89,135.17,32.58,1906.69,72.58,92.58,52.58,52.58
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.86,134.77,32.39,1890.94,72.39,92.39,52.39,52.39
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.41,142.13,36.07,2185.22,76.07,96.07,56.07,56.07
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.54,130.48,30.24,1719.13,70.24,90.24,50.24,50.24
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,7.55,143.99,37.0,2259.8,77.0,97.0,57.0,57.0
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.99,123.25,26.63,1430.07,66.63,86.63,46.63,46.63
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.82,120.92,25.46,1336.94,65.46,85.46,45.46,45.46
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.19,112.49,21.25,999.7,61.25,81.25,41.25,41.25
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,6.63,131.76,30.88,1770.49,70.88,90.88,50.88,50.88
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.34,114.48,22.24,1079.28,62.24,82.24,42.24,42.24
