CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,CROPDURATION,TEMPERATURE,WATERREQUIRED,RELATIVE_HUMIDITY,N,P,K
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.29,127.24,28.62,1589.65,68.62,88.62,48.62,48.62
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.9,135.38,32.69,1915.06,72.69,92.69,52.69,52.69
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,7.45,142.69,36.35,2207.78,76.35,96.35,56.35,56.35
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.34,114.53,22.27,1081.26,62.27,82.27,42.27,42.27
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,5.46,116.1,23.05,1143.87,63.05,83.05,43.05,43.05
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.76,146.75,38.38,2370.17,78.38,98.38,58.38,58.38
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.79,133.82,31.91,1852.68,71.91,91.91,51.91,51.91
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,5.99,123.18,26.59,1427.04,66.59,86.59,46.59,46.59
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,5.77,120.26,25.13,1310.52,65.13,85.13,45.13,45.13
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.66,132.12,31.06,1784.77,71.06,91.06,51.06,51.06
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,7.99,149.81,39.9,2492.37,79.9,99.9,59.9,59.9
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.6,117.96,23.98,1218.59,63.98,83.98,43.98,43.98
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.11,111.4,20.7,956.2,60.7,80.7,40.7,40.7
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.31,140.74,35.37,2129.76,75.37,95.37,55.37,55.37
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.15,138.68,34.34,2047.38,74.34,94.34,54.34,54.34
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.45,129.32,29.66,1672.91,69.66,89.66,49.66,49.66
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.32,127.64,28.82,1605.48,68.82,88.82,48.82,48.82
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,7.21,139.51,34.76,2080.43,74.76,94.76,54.76,54.76
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.43,142.43,36.21,2197.11,76.21,96.21,56.21,56.21
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,5.04,110.58,20.29,923.22,60.29,80.29,40.29,40.29
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.68,119.02,24.51,1260.64,64.51,84.51,44.51,44.51
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,7.88,148.37,39.18,2434.7,79.18,99.18,59.18,59.18
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.58,131.07,30.54,1742.84,70.54,90.54,50.54,50.54
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,5.88,121.7,25.85,1368.07,65.85,85.85,45.85,45.85
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.11,124.86,27.43,1494.38,67.43,87.43,47.43,47.43
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,6.72,132.99,31.5,1819.71,71.5,91.5,51.5,51.5
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.63,145.07,37.53,2302.76,77.53,97.53,57.53,57.53
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,5.52,116.92,23.46,1176.91,63.46,83.46,43.46,43.46
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,5.26,113.48,21.74,1039.32,61.74,81.74,41.74,41.74
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,7.56,144.13,37.07,2265.34,77.07,97.07,57.07,57.07
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.98,136.43,33.21,1957.13,73.21,93.21,53.21,53.21
rice,cereals,Loamy soil,kharif,Jun,Oct,irrigated,6.18,125.8,27.9,1531.96,67.9,87.9,47.9,47.9
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,6.14,125.18,27.59,1507.21,67.59,87.59,47.59,47.59
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,7.03,137.05,33.52,1981.88,73.52,93.52,53.52,53.52
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,7.61,144.74,37.37,2289.41,77.37,97.37,57.37,57.37
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,5.22,112.88,21.44,1015.25,61.44,81.44,41.44,41.44
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.47,116.32,23.16,1152.84,63.16,83.16,43.16,43.16
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,7.68,145.67,37.84,2326.83,77.84,97.84,57.84,57.84
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,6.77,133.61,31.81,1844.47,71.81,91.81,51.81,51.81
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.07,124.24,27.12,1469.62,67.12,87.12,47.12,47.12
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.92,122.32,26.16,1392.92,66.16,86.16,46.16,46.16
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.53,130.45,30.22,1717.99,70.22,90.22,50.22,50.22
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,7.83,147.77,38.88,2410.72,78.88,98.88,58.88,58.88
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.72,119.62,24.81,1284.61,64.81,84.81,44.81,44.81
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.09,111.18,20.59,947.2,60.59,80.59,40.59,40.59
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,7.39,141.83,35.91,2173.14,75.91,95.91,55.91,55.91
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,7.17,138.89,34.44,2055.57,74.44,94.44,54.44,54.44
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,6.37,128.26,29.13,1630.34,69.13,89.13,49.13,49.13
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.49,129.93,29.97,1697.28,69.97,89.97,49.97,49.97
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.11,138.08,34.04,2023.01,74.04,94.04,54.04,54.04
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,7.26,140.15,35.08,2106.08,75.08,95.08,55.08,55.08
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,5.15,112.0,21.0,979.88,61.0,81.0,41.0,41.0
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,5.64,118.56,24.28,1242.27,64.28,84.28,44.28,44.28
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,7.94,149.22,39.61,2468.69,79.61,99.61,59.61,59.61
rice,cereals,Loamy soil,kharif,Jun,Sep,rainfed,6.61,131.51,30.76,1760.4,70.76,90.76,50.76,50.76
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.82,120.87,25.44,1334.89,65.44,85.44,45.44,45.44
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,5.94,122.56,26.28,1402.58,66.28,86.28,46.28,46.28
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.83,134.43,32.21,1877.14,72.21,92.21,52.21,52.21
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,7.8,147.34,38.67,2393.75,78.67,98.67,58.67,58.67
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.41,115.51,22.75,1120.29,62.75,82.75,42.75,42.75
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.3,113.94,21.97,1057.68,61.97,81.97,41.97,41.97
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.5,143.28,36.64,2231.36,76.64,96.64,56.64,56.64
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.95,135.99,32.99,1939.53,72.99,92.99,52.99,52.99
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.25,126.63,28.31,1565.18,68.31,88.31,48.31,48.31
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.23,126.45,28.23,1558.04,68.23,88.23,48.23,48.23
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.94,135.85,32.93,1934.17,72.93,92.93,52.93,52.93
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.51,143.46,36.73,2238.28,76.73,96.73,56.73,56.73
rice,cereals,Loamy soil,kharif,Jul,Oct,irrigated,5.31,114.08,22.04,1063.25,62.04,82.04,42.04,42.04
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,5.38,115.02,22.51,1100.64,62.51,82.51,42.51,42.51
rice,cereals,Loamy soil,kharif,Jun,Oct,rainfed,7.77,146.9,38.45,2375.9,78.45,98.45,58.45,58.45
rice,cereals,Loamy soil,kharif,Jun,Sep,rainfed,6.87,134.91,32.46,1896.56,72.46,92.46,52.46,52.46
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.98,123.02,26.51,1420.65,66.51,86.51,46.51,46.51
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,5.83,121.05,25.52,1341.81,65.52,85.52,45.52,45.52
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,6.62,131.65,30.82,1765.98,70.82,90.82,50.82,50.82
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.93,149.04,39.52,2461.55,79.52,99.52,59.52,59.52
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.63,118.42,24.21,1236.91,64.21,84.21,44.21,44.21
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.19,112.48,21.24,999.3,61.24,81.24,41.24,41.24
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.3,140.6,35.3,2124.16,75.3,95.3,55.3,55.3
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.07,137.58,33.79,2003.37,73.79,93.79,53.79,53.79
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,6.46,129.49,29.74,1679.41,69.74,89.74,49.74,49.74
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,6.41,128.75,29.37,1649.95,69.37,89.37,49.37,49.37
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,7.2,139.34,34.67,2073.46,74.67,94.67,54.67,54.67
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,7.35,141.34,35.67,2153.7,75.67,95.67,55.67,55.67
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,5.05,110.73,20.36,929.14,60.36,80.36,40.36,40.36
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,5.73,119.79,24.9,1291.73,64.9,84.9,44.9,44.9
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,7.84,147.9,38.95,2416.11,78.95,98.95,58.95,58.95
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.52,130.28,30.14,1711.05,70.14,90.14,50.14,50.14
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.91,122.18,26.09,1387.37,66.09,86.09,46.09,46.09
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,6.03,123.75,26.88,1450.17,66.88,86.88,46.88,46.88
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.74,133.16,31.58,1826.41,71.58,91.58,51.58,51.58
rice,cereals,Loamy soil,kharif,Jun,Sep,rainfed,7.71,146.16,38.08,2346.44,78.08,98.08,58.08,58.08
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,5.51,116.77,23.38,1170.72,63.38,83.38,43.38,43.38
rice,cereals,Loamy soil,kharif,Jul,Oct,irrigated,5.2,112.71,21.35,1008.3,61.35,81.35,41.35,41.35
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.59,144.6,37.3,2283.86,77.3,97.3,57.3,57.3
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.04,137.22,33.61,1989.0,73.61,93.61,53.61,53.61
rice,cereals,Loamy soil,kharif,Jul,Oct,irrigated,6.15,125.31,27.66,1512.59,67.66,87.66,47.66,47.66
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,6.2,125.97,27.99,1538.9,67.99,87.99,47.99,47.99
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,6.99,136.57,33.28,1962.68,73.28,93.28,53.28,53.28
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,7.55,143.96,36.98,2258.23,76.98,96.98,56.98,56.98
rice,cereals,Loamy soil,kharif,Jun,Oct,irrigated,5.25,113.35,21.67,1033.94,61.67,81.67,41.67,41.67
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.56,117.41,23.7,1196.35,63.7,83.7,43.7,43.7
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,7.66,145.52,37.76,2320.81,77.76,97.76,57.76,57.76
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,6.69,132.5,31.25,1800.1,71.25,91.25,51.25,51.25
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.08,124.41,27.21,1476.49,67.21,87.21,47.21,47.21
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,5.86,121.52,25.76,1360.95,65.76,85.76,45.76,45.76
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.57,130.94,30.47,1737.46,70.47,90.47,50.47,50.47
rice,cereals,Loamy soil,kharif,Jun,Oct,rainfed,7.89,148.54,39.27,2441.65,79.27,99.27,59.27,59.27
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.69,119.15,24.58,1266.19,64.58,84.58,44.58,44.58
