CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,CROPDURATION,TEMPERATURE,WATERREQUIRED,RELATIVE_HUMIDITY,N,P,K
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.34,127.87,28.94,1614.94,68.94,88.94,48.94,48.94
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.32,140.93,35.47,2137.33,75.47,95.47,55.47,55.47
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,6.81,134.11,32.06,1864.52,72.06,92.06,52.06,52.06
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.62,131.66,30.83,1766.45,70.83,90.83,50.83,50.83
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.0,123.29,26.64,1431.44,66.64,86.64,46.64,46.64
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.0,123.29,26.64,1431.42,66.64,86.64,46.64,46.64
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.72,119.59,24.8,1283.77,64.8,84.8,44.8,44.8
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,7.05,137.36,33.68,1994.38,73.68,93.68,53.68,53.68
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,6.63,131.7,30.85,1768.14,70.85,90.85,50.85,50.85
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.77,133.64,31.82,1845.63,71.82,91.82,51.82,51.82
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,5.49,116.56,23.28,1162.29,63.28,83.28,43.28,43.28
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,7.43,142.41,36.2,2196.32,76.2,96.2,56.2,56.2
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.98,136.4,33.2,1956.08,73.2,93.2,53.2,53.2
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.1,124.7,27.35,1487.82,67.35,87.35,47.35,47.35
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.05,123.97,26.98,1458.62,66.98,86.98,46.98,46.98
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.05,124.0,27.0,1460.2,67.0,87.0,47.0,47.0
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.24,126.6,28.3,1563.81,68.3,88.3,48.3,48.3
rice,cereals,Clay soil,kharif,Jun,Sep,rainfed,6.53,130.41,30.21,1716.51,70.21,90.21,50.21,50.21
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.41,128.86,29.43,1654.41,69.43,89.43,49.43,49.43
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.23,126.35,28.17,1553.83,68.17,88.17,48.17,48.17
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.64,131.89,30.94,1775.56,70.94,90.94,50.94,50.94
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,5.96,122.81,26.41,1412.47,66.41,86.41,46.41,46.41
rice,cereals,Loamy soil,kharif,Jul,Sep,rainfed,6.23,126.36,28.18,1554.53,68.18,88.18,48.18,48.18
rice,cereals,Alluvial soil,kharif,Jun,Oct,rainfed,6.33,127.73,28.86,1609.19,68.86,88.86,48.86,48.86
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.44,129.27,29.63,1670.66,69.63,89.63,49.63,49.63
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,6.89,135.25,32.62,1909.91,72.62,92.62,52.62,52.62
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,6.08,124.4,27.2,1476.03,67.2,87.2,47.2,47.2
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,6.52,130.24,30.12,1709.49,70.12,90.12,50.12,50.12
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,6.62,131.55,30.78,1762.16,70.78,90.78,50.78,50.78
rice,cereals,Clay soil,kharif,Jun,Oct,rainfed,5.67,118.88,24.44,1255.25,64.44,84.44,44.44,44.44
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.64,131.81,30.91,1772.58,70.91,90.91,50.91,50.91
rice,cereals,Loamy soil,kharif,Jun,Oct,irrigated,6.03,123.68,26.84,1447.04,66.84,86.84,46.84,46.84
rice,cereals,Clay soil,kharif,Jun,Oct,irrigated,5.75,119.97,24.98,1298.8,64.98,84.98,44.98,44.98
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,7.31,140.82,35.41,2132.72,75.41,95.41,55.41,55.41
rice,cereals,Clay soil,kharif,Jul,Oct,irrigated,7.4,142.03,36.01,2181.03,76.01,96.01,56.01,56.01
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.93,135.79,32.9,1931.72,72.9,92.9,52.9,52.9
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.25,126.6,28.3,1564.09,68.3,88.3,48.3,48.3
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,5.86,121.41,25.7,1356.36,65.7,85.7,45.7,45.7
rice,cereals,Alluvial soil,kharif,Jul,Sep,rainfed,6.74,133.19,31.59,1827.51,71.59,91.59,51.59,51.59
rice,cereals,Clay soil,kharif,Jul,Sep,irrigated,6.42,129.0,29.5,1659.95,69.5,89.5,49.5,49.5
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.92,122.27,26.13,1390.71,66.13,86.13,46.13,46.13
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.49,129.92,29.96,1696.78,69.96,89.96,49.96,49.96
rice,cereals,Alluvial soil,kharif,Jun,Oct,irrigated,5.6,117.98,23.99,1219.04,63.99,83.99,43.99,43.99
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.16,138.87,34.43,2054.63,74.43,94.43,54.43,54.43
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.18,125.7,27.85,1527.97,67.85,87.85,47.85,47.85
rice,cereals,Alluvial soil,kharif,Jul,Sep,irrigated,6.71,132.79,31.39,1811.51,71.39,91.39,51.39,51.39
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,6.26,126.74,28.37,1569.45,68.37,88.37,48.37,48.37
rice,cereals,Clay soil,kharif,Jul,Sep,rainfed,6.53,130.33,30.17,1713.38,70.17,90.17,50.17,50.17
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.56,130.78,30.39,1731.21,70.39,90.39,50.39,50.39
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.05,124.04,27.02,1461.64,67.02,87.02,47.02,47.02
rice,cereals,Loamy soil,kharif,Jul,Sep,irrigated,7.43,142.38,36.19,2195.1,76.19,96.19,56.19,56.19
rice,cereals,Alluvial soil,kharif,Jul,Oct,irrigated,6.88,135.02,32.51,1900.9,72.51,92.51,52.51,52.51
rice,cereals,Alluvial soil,kharif,Jun,Sep,rainfed,7.27,140.27,35.14,2110.87,75.14,95.14,55.14,55.14
