CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,Drought_Risk,SOIL_PH,CROP_DURATION,TEMPERATURE,WATER_REQUIRED,RELATIVE_HUMIDITY,N,P,K
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.93,119,36.33,1652.97,74.1,94.8,47.65,46.08
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.74,122,34.39,1383.68,70.3,87.17,49.42,48.78
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.1,148,35.87,1754.51,66.05,94.33,46.92,47.48
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.56,127,25.99,1190.88,66.42,88.7,46.93,57.52
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.25,141,35.41,2063.37,74.5,96.64,46.48,47.87
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.25,130,28.04,1797.35,70.79,94.35,54.9,50.79
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,5.3,138,31.84,1668.62,71.08,95.3,48.26,52.1
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.82,130,27.57,1065.74,65.72,93.39,45.41,45.31
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.95,122,31.84,1823.16,65.98,89.14,43.57,48.36
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.34,123,32.1,1755.29,64.32,86.42,52.25,50.45
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,5.6,113,34.33,1501.16,68.73,92.5,52.19,50.69
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.79,123,22.61,1062.06,60.73,89.34,52.88,52.13
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.29,112,25.97,1657.46,72.43,97.67,56.89,56.76
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.17,123,26.83,2218.53,72.92,93.02,54.99,45.29
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.47,132,33.73,1724.26,67.89,92.65,53.82,48.64
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.77,122,27.91,1680.71,60.88,97.77,45.53,54.64
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.2,111,23.95,2075.51,62.85,92.72,55.88,50.43
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.02,130,34.9,2093.14,73.6,89.37,45.05,44.86
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.56,132,28.81,1956.61,68.3,95.86,49.64,44.86
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,5.28,132,31.43,1796.32,65.85,92.28,55.9,50.97
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.97,138,31.7,1778.49,68.05,84.67,49.01,48.39
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.71,131,29.11,1824.65,70.06,94.98,48.68,51.69
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,5.36,131,35.74,2098.38,69.73,86.25,45.81,47.09
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.39,124,29.73,1071.63,67.9,87.75,43.5,57.24
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.59,112,31.75,1638.11,75.74,82.03,53.14,49.7
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.92,135,23.51,1907.21,68.31,88.22,43.54,50.49
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,5.36,144,29.56,1509.07,67.48,96.88,50.35,44.11
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,7.06,122,29.15,1443.1,68.28,86.21,46.27,43.41
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,5.41,138,27.79,1541.25,67.98,97.1,50.19,47.19
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,5.9,129,33.08,2055.74,72.65,95.1,50.6,51.67
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.26,140,23.9,1285.6,73.14,94.89,42.94,53.19
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.13,138,27.91,1628.83,75.75,88.5,53.24,48.02
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,5.88,131,24.61,1565.44,65.64,87.56,50.97,50.44
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.33,145,37.02,2399.76,73.21,88.22,49.95,50.38
rice,cereals,"Alluvial soil,Loamy soil,Clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed",,6.3,133,27.28,1867.92,70.43,85.25,43.89,49.38
